name,male_count,female_count
MARY,15159,4120692
ANNA,2732,883882
EMMA,1603,634083
ELIZABETH,5172,1620611
MINNIE,787,158707
MARGARET,3743,1244388
IDA,766,185992
ALICE,1936,556238
BERTHA,936,207581
SARAH,3319,1069797
ANNIE,1922,348252
CLARA,1011,274165
ELLA,870,288685
FLORENCE,1437,334920
CORA,387,128436
MARTHA,1991,547982
LAURA,2579,793694
NELLIE,593,149134
GRACE,1318,483080
CARRIE,1190,265592
MAUDE,133,45494
MABEL,409,133515
BESSIE,737,170014
JENNIE,479,126549
GERTRUDE,568,176830
JULIA,1733,452867
HATTIE,494,98491
EDITH,825,265257
MATTIE,780,130782
ROSE,2098,479203
CATHERINE,1823,657270
LILLIAN,1412,433010
ADA,277,93464
LILLIE,873,155163
HELEN,3104,1017519
JESSIE,109810,166550
LOUISE,2188,332325
ETHEL,1490,278669
LULA,344,84228
MYRTLE,498,136447
EVA,995,259077
FRANCES,4976,588601
LENA,326,136010
LUCY,621,193616
EDNA,1042,294136
MAGGIE,282,113117
PEARL,3919,155601
DAISY,626,138338
FANNIE,369,84861
JOSEPHINE,986,301388
DORA,550,105163
ROSA,1173,173179
KATHERINE,1823,632162
AGNES,465,157559
MARIE,2195,535680
NORA,764,138645
MAY,699,48095
MAMIE,278,77714
BLANCHE,223,87352
STELLA,377,164464
ELLEN,744,272553
NANCY,2946,1001671
EFFIE,241,43568
SALLIE,135,49754
NETTIE,88,49274
DELLA,139,67250
LIZZIE,102,38708
FLORA,172,67696
SUSIE,278,84857
MAUD,31,13131
MAE,601,109717
ETTA,23,40820
HARRIET,121,88231
SADIE,235,118135
CAROLINE,308,220093
KATIE,499,235343
LYDIA,264,160508
ELSIE,887,176367
KATE,87,78646
SUSAN,2539,1121148
MOLLIE,46,46210
ALMA,2168,158437
ADDIE,718,43698
GEORGIA,728,149612
ELIZA,179,49487
LULU,0,12174
NANNIE,20,25560
LOTTIE,133,46020
AMANDA,2138,783893
BELLE,0,16736
CHARLOTTE,676,335887
REBECCA,2105,745468
RUTH,2779,822331
VIOLA,434,130948
OLIVE,358,52980
AMELIA,199,167517
HANNAH,684,421813
JANE,1134,369245
VIRGINIA,2009,647773
EMILY,1739,831659
MATILDA,10,30920
IRENE,1344,351195
KATHRYN,1094,450464
ESTHER,962,253207
WILLIE,448402,146136
HENRIETTA,52,50665
OLLIE,15996,40834
AMY,1846,688502
RACHEL,1786,561331
SARA,1237,421097
ESTELLA,55,38691
THERESA,1217,403093
AUGUSTA,1674,16156
ORA,5586,38924
PAULINE,775,225875
JOSIE,475,55360
LOLA,275,85702
SOPHIA,404,321068
LEONA,294,107758
ANNE,829,320587
MILDRED,1583,450520
ANN,1365,468094
BEULAH,213,73083
CALLIE,627,55175
LOU,3556,33635
DELIA,62,35942
ELEANOR,601,277123
BARBARA,4138,1433727
IVA,564,37387
LOUISA,5,18457
MARIA,4229,540495
MAYME,0,10878
EVELYN,1830,552211
ESTELLE,159,52871
NINA,250,124854
BETTY,3619,999275
MARION,71917,188109
BETTIE,83,38310
DOROTHY,3677,1106575
LUELLA,16,29964
INEZ,944,67344
LELA,68,42022
ROSIE,474,79075
ALLIE,3122,46578
MILLIE,207,28332
JANIE,276,74361
CORNELIA,26,21700
VICTORIA,1232,479242
RUBY,3003,344483
WINIFRED,1106,43090
ALTA,117,28663
CELIA,74,53613
CHRISTINE,2030,584210
BEATRICE,733,190002
BIRDIE,106,12090
HARRIETT,5,21520
MABLE,215,52780
MYRA,51,59111
SOPHIE,111,108153
TILLIE,27,14539
ISABEL,1817,115009
SYLVIA,908,238469
CAROLYN,1619,554509
ISABELLE,20,87167
LEILA,6,43532
SALLY,642,203445
INA,65,33604
ESSIE,1212,39253
BERTIE,856,13641
NELL,98,26638
ALBERTA,399,70280
KATHARINE,11,40823
LORA,249,51760
RENA,123,38398
MINA,548,15003
RHODA,7,25580
MATHILDA,0,7210
ABBIE,325,21266
EULA,332,47058
DOLLIE,61,19142
HETTIE,0,7282
EUNICE,1178,79361
FANNY,0,9468
OLA,624,29523
LENORA,31,34380
ADELAIDE,0,24849
CHRISTINA,1987,474958
LELIA,0,15379
NELLE,0,5533
SUE,519,144454
JOHANNA,129,50330
LILLY,24,53692
LUCINDA,11,37254
MINERVA,0,15092
LETTIE,0,9374
ROXIE,203,18020
CYNTHIA,1961,708290
HELENA,0,34268
HILDA,183,80565
HULDA,0,5406
BERNICE,3402,181680
GENEVIEVE,151,109094
JEAN,23698,457716
CORDELIA,0,10746
MARIAN,1334,140151
FRANCIS,284528,29041
JEANETTE,538,162792
ADELINE,26,51258
GUSSIE,1098,13083
LEAH,424,216196
LOIS,2637,331822
LURA,5,9467
MITTIE,0,6297
HALLIE,1335,29338
ISABELLA,356,305484
